dateStr minTime maxTime
20110205 130 800
20110302 30 400
20110310 600 630
20110311 200 200
20110312 30 30
20110402 200 630
20110403 330 600
20110404 430 700
20110407 230 500
20110409 700 800
20110413 400 600
20110430 300 400
20110501 230 800
20110502 130 500
20110503 130 500
20110529 130 500
20110531 300 1200
20110602 700 800
20110605 100 600
20110606 530 700
20110608 430 900
20110609 530 830
20110611 600 1100
20110620 500 1030
20110621 730 900
20110622 630 1130
20110623 230 700
20110624 230 1100
20110625 630 800
20110701 630 830
20110705 400 530
20110709 430 600
20110720 600 1130
20110721 500 630
20110722 530 1030
20110723 600 1130
20110725 530 1100
20110801 500 900
20110806 100 1200
20110807 600 600
20110809 600 1100
20110810 630 1100
20110904 700 730
20110910 130 300
20110912 230 530
20110913 30 700
20110920 630 1200
20110927 100 400
20110928 230 400
20110929 230 530
20111001 500 530
20111007 630 830
20111009 600 730
20111013 500 1100
20111025 1200 1200
20111101 430 530
20120103 300 730
20120121 630 800
20120123 30 700
20120124 200 630
20120125 400 700
20120129 430 500
20120204 400 900
20120207 400 630
20120214 530 1030
20120215 230 600
20120219 400 900
20120220 200 700
20120221 300 600
20120222 400 1030
20120226 500 730
20120309 200 330
20120310 130 330
20120311 500 630
20120313 300 530
20120314 430 600
20120315 400 800
20120316 100 630
20120317 130 530
20120318 300 730
20120319 400 1000
20120324 600 600
20120327 600 700
20120328 200 300
20120402 330 1030
20120403 530 630
20120405 300 600
20120407 400 430
20120412 700 900
20120413 230 630
20120414 300 600
20120417 800 1100
20120420 700 930
20120422 300 930
20120423 330 930
20120425 200 500
20120426 230 700
20120429 930 1100
20120503 630 1100
20120509 430 1030
20120510 200 1030
20120511 230 1000
20120512 600 730
20120513 630 830
20120520 600 730
20120523 230 600
20120524 600 800
20120603 830 930
20120605 600 800
20120606 300 830
20120608 730 930
20120611 930 1030
20120612 430 730
20120618 130 800
20120625 800 1000
20120626 430 930
20120630 800 800
20120701 130 600
20120702 200 1000
20120703 600 730
20120704 600 730
20120706 700 830
20120709 430 500
20120710 130 730
20120711 600 1030
20120712 500 700
20120716 0 30
20120717 300 330
20120720 600 1200
20120722 600 1000
20120724 300 630
20120729 700 1100
20120730 630 1030
20120803 430 1000
20120806 430 1130
20120808 730 1030
20120814 730 1030
20120817 130 630
20120820 430 830
20120823 700 1100
20120902 600 930
20120903 200 300
20120904 200 530
20120905 130 430
20120907 630 800
20120908 130 700
20120918 530 1200
20121001 130 130
20121008 430 430
20121009 0 0
20121012 400 1200
20121013 200 330
20121014 100 430
20121015 430 600
20121017 500 830
20121024 930 1200
20121101 730 730
20121114 200 530
20121120 400 1030
20121121 200 900
20121124 200 1000
20121202 900 1030
20130118 230 500
20130120 400 900
20130222 530 1200
20130301 300 730
20130302 0 430
20130303 430 630
20130315 530 1100
20130316 500 1200
20130320 530 730
20130321 230 630
20130327 630 730
20130329 300 500
20130330 130 530
20130426 300 700
20130501 500 700
20130502 30 600
20130507 600 1130
20130517 600 1130
20130518 130 300
20130521 700 1130
20130523 630 1130
20130524 830 1030
20130525 230 700
20130526 230 1130
20130528 530 1100
20130602 200 700
20130603 500 1200
20130604 630 800
20130606 630 1030
20130607 200 230
20130610 430 730
20130621 430 900
20130622 530 1130
20130623 800 930
20130624 100 930
20130629 300 300
20130630 200 1000
20130701 700 1030
20130707 0 330
20130710 330 400
20130711 0 500
20130712 300 730
20130715 130 430
20130726 300 1200
20130805 300 500
20130816 230 700
20130821 530 1100
20130823 430 900
20130825 600 830
20130828 130 630
20130919 500 1200
20131002 230 230
20131007 500 1100
20131009 300 630
20131015 230 630
20131017 500 1030
20131101 300 1100
20131103 600 730
20131109 430 430
20131111 300 530
20131115 500 500
20131201 330 1000
20131208 300 1000
20131214 400 600
20140102 300 1130
20140206 530 700
20140209 300 800
20140210 430 800
20140219 130 330
20140220 330 500
20140222 230 930
20140228 800 800
20140303 330 830
20140313 300 300
20140321 530 930
20140326 800 1000
20140327 1130 1130
20140412 300 500
20140413 130 1130
20140414 630 830
20140424 700 930
20140426 430 700
20140428 700 700
20140430 330 700
20140505 700 800
20140510 630 930
20140512 800 900
20140609 730 900
20140614 900 930
20140617 730 900
20140618 700 1000
20140619 630 930
20140620 530 830
20140621 900 1030
20140624 630 700
20140625 930 1100
20140703 730 830
20140710 930 1200
20140712 700 1000
20140715 700 1130
20140726 700 800
20140728 630 730
20140802 800 830
20140804 600 930
20140805 330 1130
20140806 500 930
20140808 630 1030
20140901 630 700
20140902 700 800
20140903 400 1000
20140904 700 830
20140905 830 900
20140907 330 630
20140911 930 1100
20140912 200 900
20140913 0 500
20140919 330 530
20140921 630 700
20140922 600 1200
20140923 230 830
20140924 230 730
20141001 600 730
20141009 900 900
20141011 230 830
20141017 430 930
20141018 430 730
20141105 230 700
20141115 430 630
20141116 300 730
20141202 500 930
