BndEquGlat BndEquMlat BndEquMlon BndGlon BndPolGlat BndPolMlat BndPolMlon date minTecGlat minTecMlat minTecMlon minTecVal
55.0 51.407069193 -115.453998622 -180.0 64.0 60.7714863364 -118.713022986 "2011-02-05 02:27:30" 59.0 55.5471315488 -116.65683892 5.4
56.0 52.5366038913 -114.937272359 -179.0 64.0 60.865501135 -117.961053021 "2011-02-05 02:27:30" 59.0 55.6448052601 -115.881855303 5.4
56.0 52.6399612556 -114.147611131 -178.0 68.0 65.1297160188 -119.552877631 "2011-02-05 02:27:30" 59.0 55.7457314052 -115.105924502 6.0
56.0 52.7466124783 -113.356757118 -177.0 68.0 65.2261903742 -118.82049629 "2011-02-05 02:27:30" 59.0 55.8498952676 -114.328887989 6.2
37.0 46.6620689526 -37.8435191636 -105.0 44.0 53.4906213129 -38.8417807455 "2011-02-05 02:27:30" 39.0 48.6074789198 -38.1128008702 3.8
43.0 54.1634558859 -14.1359725435 -87.0 51.0 61.798284975 -14.1801427501 "2011-02-05 02:27:30" 47.0 57.9832409518 -14.1301235058 3.9
42.0 53.2142468787 -12.7314038917 -86.0 49.0 59.8932350309 -12.6745327379 "2011-02-05 02:27:30" 46.0 57.0288236154 -12.6805656945 3.9
42.0 53.206837878 -11.3171543521 -85.0 50.0 60.836768687 -11.197698295 "2011-02-05 02:27:30" 47.0 57.9745914105 -11.2206976088 2.55
54.0 52.7000860743 -100.552864747 -162.0 64.0 62.9102099075 -104.900497862 "2011-02-05 02:27:30" 59.0 57.7855707805 -102.427719498 6.45
55.0 53.8673091906 -100.058524843 -161.0 65.0 64.0766727522 -104.709309114 "2011-02-05 02:27:30" 59.0 57.9380540022 -101.609917848 6.6
55.0 54.0266358783 -99.2198174955 -160.0 64.0 63.2027791574 -103.304780432 "2011-02-05 02:27:30" 59.0 58.0932231105 -100.78798809 6.7
55.0 54.1886567603 -98.3771279523 -159.0 64.0 63.3527748337 -102.500105678 "2011-02-05 02:27:30" 59.0 58.2510219442 -99.9617238703 6.9
55.0 54.3533133528 -97.5302733802 -158.0 64.0 63.505173929 -101.690573127 "2011-02-05 02:27:30" 58.0 57.3938062318 -98.701286368 7.15
44.0 54.9110226122 -4.14996602416 -80.0 52.0 62.5513005543 -3.74150569832 "2011-02-05 02:27:30" 49.0 59.6889234914 -3.88456393238 1.9
