dateStr minTime maxTime
20110302 230 230
20110310 430 600
20110403 330 400
20110404 430 530
20110409 230 230
20110413 130 400
20110501 230 230
20110502 100 130
20110503 100 100
20110531 300 300
20110602 230 230
20110606 230 230
20110609 100 100
20110611 230 230
20110620 430 530
20110621 300 800
20110622 300 630
20110625 430 800
20110709 600 600
20110720 630 630
20110721 30 30
20110722 300 300
20110801 300 300
20110807 530 600
20110809 430 630
20110814 400 700
20110903 300 700
20110904 300 300
20110910 100 100
20110912 200 200
20110920 600 630
20110928 100 130
20110929 130 530
20111001 530 600
20111007 530 530
20111013 500 730
20111101 230 230
20120103 200 230
20120121 300 700
20120124 200 700
20120125 230 600
20120129 400 500
20120204 330 630
20120207 430 630
20120208 130 300
20120214 500 630
20120215 300 300
20120220 230 500
20120221 300 600
20120222 300 500
20120226 430 800
20120310 200 200
20120311 400 530
20120313 100 430
20120314 230 630
20120315 100 600
20120318 130 330
20120319 530 630
20120327 330 800
20120403 300 600
20120407 430 430
20120414 500 500
20120417 930 930
20120423 800 800
20120427 300 500
20120429 400 930
20120509 330 330
20120511 330 1100
20120512 200 700
20120520 400 400
20120524 330 330
20120603 800 800
20120608 330 330
20120618 530 630
20120702 130 130
20120703 400 400
20120706 400 800
20120710 230 230
20120717 200 200
20120724 200 730
20120730 400 400
20120806 330 500
20120808 730 730
20120814 630 700
20120820 230 600
20120823 300 330
20120902 300 400
20120904 130 200
20120905 30 30
20120907 500 530
20120908 100 130
20120918 700 700
20121001 130 130
20121008 230 400
20121012 200 730
20121013 200 330
20121014 100 230
20121017 400 430
20121023 530 730
20121024 400 930
20121101 230 230
20121114 100 130
20121120 330 400
20121121 200 200
20121124 200 230
20130118 300 430
20130120 230 600
20130222 400 730
20130301 500 600
20130302 30 300
20130303 200 500
20130315 700 1130
20130316 230 330
20130327 530 530
20130329 230 300
20130330 100 230
20130426 230 300
20130502 30 30
20130507 230 400
20130517 330 730
20130523 400 530
20130524 330 400
20130525 300 300
20130602 200 230
20130603 130 430
20130604 300 300
20130606 400 530
20130607 300 300
20130610 230 730
20130621 130 230
20130622 100 200
20130623 130 130
20130624 30 100
20130630 230 430
20130701 700 700
20130711 0 130
20130712 500 630
20130816 100 300
20130825 630 630
20130828 200 230
20130919 500 1200
20131002 200 230
20131007 430 430
20131009 30 30
20131015 230 230
20131017 430 500
20131101 300 800
20131103 300 1100
20131109 430 430
20131111 200 400
20131115 430 630
20131116 300 300
20131201 230 1200
20131208 300 330
20131214 300 630
20140206 700 800
20140208 230 230
20140209 200 600
20140210 200 600
20140221 300 300
20140222 200 430
20140303 330 700
20140321 400 430
20140326 800 830
20140413 100 130
20140426 300 430
20140428 430 430
20140430 430 430
20140504 330 330
20140510 400 400
20140614 530 730
20140617 630 630
20140619 600 600
20140621 730 730
20140624 630 630
20140625 730 730
20140710 300 500
20140712 700 700
20140715 800 800
20140726 600 700
20140728 630 700
20140802 700 800
20140804 300 700
20140805 330 730
20140806 530 530
20140808 330 330
20140901 630 630
20140902 430 430
20140903 230 630
20140905 700 800
20140907 630 830
20140911 300 530
20140912 200 200
20140913 400 400
20140921 430 730
20140922 500 730
20140923 200 700
20140924 300 630
20141001 30 600
20141004 430 630
20141009 230 230
20141011 300 500
20141015 100 230
20141017 430 1200
20141018 230 430
20141105 300 500
20141115 400 530
20141202 230 430
