BndEquMlat BndEquTecVal BndMlon BndPolMlat BndPolTecVal date minFltrdTecVal minTecMlat minTecVal
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:00:00" 3.30188447133 60.0 3.4
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:05:00" 3.30188447133 60.0 3.4
55.0 5.6 340.0 68.0 9.2 "2011-04-03 04:15:00" 3.44695588405 59.0 2.7
55.0 5.4 340.0 67.0 11.2 "2011-04-03 04:25:00" 3.62380429526 58.0 3.0
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:00:00" 3.30188447133 60.0 3.4
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:05:00" 3.30188447133 60.0 3.4
55.0 5.6 340.0 68.0 9.2 "2011-04-03 04:15:00" 3.44695588405 59.0 2.7
55.0 5.4 340.0 67.0 11.2 "2011-04-03 04:25:00" 3.62380429526 58.0 3.0
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:00:00" 3.30188447133 60.0 3.4
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:05:00" 3.30188447133 60.0 3.4
55.0 5.6 340.0 68.0 9.2 "2011-04-03 04:15:00" 3.44695588405 59.0 2.7
55.0 5.4 340.0 67.0 11.2 "2011-04-03 04:25:00" 3.62380429526 58.0 3.0
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:00:00" 3.30188447133 60.0 3.4
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:05:00" 3.30188447133 60.0 3.4
55.0 5.6 340.0 68.0 9.2 "2011-04-03 04:15:00" 3.44695588405 59.0 2.7
55.0 5.4 340.0 67.0 11.2 "2011-04-03 04:25:00" 3.62380429526 58.0 3.0
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:00:00" 3.30188447133 60.0 3.4
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:05:00" 3.30188447133 60.0 3.4
55.0 5.6 340.0 68.0 9.2 "2011-04-03 04:15:00" 3.44695588405 59.0 2.7
55.0 5.4 340.0 67.0 11.2 "2011-04-03 04:25:00" 3.62380429526 58.0 3.0
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:00:00" 3.30188447133 60.0 3.4
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:05:00" 3.30188447133 60.0 3.4
55.0 5.6 340.0 68.0 9.2 "2011-04-03 04:15:00" 3.44695588405 59.0 2.7
55.0 5.4 340.0 67.0 11.2 "2011-04-03 04:25:00" 3.62380429526 58.0 3.0
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:00:00" 3.30188447133 60.0 3.4
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:05:00" 3.30188447133 60.0 3.4
55.0 5.6 340.0 68.0 9.2 "2011-04-03 04:15:00" 3.44695588405 59.0 2.7
55.0 5.4 340.0 67.0 11.2 "2011-04-03 04:25:00" 3.62380429526 58.0 3.0
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:00:00" 3.30188447133 60.0 3.4
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:05:00" 3.30188447133 60.0 3.4
55.0 5.6 340.0 68.0 9.2 "2011-04-03 04:15:00" 3.44695588405 59.0 2.7
55.0 5.4 340.0 67.0 11.2 "2011-04-03 04:25:00" 3.62380429526 58.0 3.0
54.0 8.6 0.0 66.0 8.5 "2011-04-03 04:00:00" 3.84230660415 59.0 3.5
54.0 8.1 2.0 64.0 4.4 "2011-04-03 04:00:00" 3.57743240575 60.0 3.6
52.0 9.4 4.0 64.0 3.3 "2011-04-03 04:00:00" 3.46153323056 60.0 3.6
51.0 9.0 6.0 65.0 6.7 "2011-04-03 04:00:00" 3.46548779121 60.0 3.8
51.0 7.8 8.0 65.0 6.7 "2011-04-03 04:00:00" 3.50154052862 59.0 3.3
50.0 9.2 10.0 65.0 6.7 "2011-04-03 04:00:00" 3.46367644757 59.0 3.2
51.0 6.7 12.0 65.0 7.0 "2011-04-03 04:00:00" 3.47935788024 58.0 3.1
51.0 10.7 14.0 65.0 7.3 "2011-04-03 04:00:00" 3.40706007074 58.0 3.3
52.0 10.1 16.0 64.0 4.3 "2011-04-03 04:00:00" 3.3361350331 58.0 3.2
52.0 9.8 18.0 62.0 4.4 "2011-04-03 04:00:00" 3.47421380174 57.0 2.9
54.0 3.7 20.0 61.0 6.4 "2011-04-03 04:00:00" 3.33308427786 56.0 2.8
54.0 3.3 22.0 61.0 6.4 "2011-04-03 04:00:00" 3.03437240429 56.0 2.6
53.0 3.9 24.0 60.0 3.0 "2011-04-03 04:00:00" 2.94406231233 56.0 2.5
51.0 8.1 26.0 60.0 3.0 "2011-04-03 04:00:00" 2.77247631351 57.0 2.2
51.0 8.1 28.0 63.0 5.0 "2011-04-03 04:00:00" 2.84419615512 57.0 2.1
51.0 8.1 30.0 63.0 5.3 "2011-04-03 04:00:00" 3.53355396615 56.0 2.2
49.0 18.4 166.0 62.0 15.6 "2011-04-03 04:00:00" 13.5542544859 57.0 12.3
54.0 23.9 216.0 66.0 19.7 "2011-04-03 04:00:00" 18.7374474493 62.0 16.9
48.0 19.9 164.0 63.0 15.6 "2011-04-03 04:00:00" 14.0478052378 56.0 14.8
49.0 19.9 162.0 62.0 16.2 "2011-04-03 04:00:00" 15.2478609356 54.0 14.7
48.0 18.9 180.0 69.0 14.8 "2011-04-03 04:00:00" 14.0336987507 63.0 13.4
49.0 18.1 182.0 69.0 14.8 "2011-04-03 04:00:00" 13.9230180514 63.0 13.3
59.0 9.6 272.0 68.0 6.7 "2011-04-03 04:00:00" 5.72407326077 65.0 5.1
61.0 10.6 268.0 69.0 7.4 "2011-04-03 04:00:00" 6.59238449852 66.0 6.2
60.0 10.6 270.0 68.0 6.9 "2011-04-03 04:00:00" 6.62125325813 66.0 6.4
59.0 9.1 274.0 68.0 6.1 "2011-04-03 04:00:00" 5.1113206752 65.0 4.7
61.0 11.9 266.0 70.0 7.4 "2011-04-03 04:00:00" 6.10525735553 67.0 5.8
58.0 10.4 276.0 68.0 5.3 "2011-04-03 04:00:00" 4.88271139137 65.0 4.5
54.0 5.7 338.0 68.0 6.9 "2011-04-03 04:00:00" 3.66283648202 60.0 3.5
55.0 5.7 340.0 68.0 7.4 "2011-04-03 04:00:00" 3.30188447133 60.0 3.4
62.0 11.7 262.0 70.0 8.5 "2011-04-03 04:00:00" 5.85383273868 68.0 4.9
53.0 6.7 336.0 64.0 4.6 "2011-04-03 04:00:00" 3.58410753761 60.0 3.0
47.0 4.9 86.0 59.0 4.4 "2011-04-03 04:00:00" 2.66165840491 51.0 1.5
61.0 5.4 94.0 69.0 4.9 "2011-04-03 04:00:00" 4.78004949536 65.0 4.0
48.0 10.5 96.0 69.0 5.6 "2011-04-03 04:00:00" 5.21195571476 64.0 5.5
47.0 6.1 84.0 57.0 4.4 "2011-04-03 04:00:00" 3.37428128587 51.0 1.4
54.0 5.5 322.0 62.0 8.6 "2011-04-03 04:00:00" 3.55394139393 58.0 2.8
55.0 5.6 324.0 61.0 3.0 "2011-04-03 04:00:00" 3.5213752878 58.0 2.4
55.0 5.8 326.0 63.0 5.1 "2011-04-03 04:00:00" 3.32503818109 59.0 3.2
56.0 6.3 98.0 65.0 5.7 "2011-04-03 04:00:00" 5.07062109726 62.0 4.3
60.0 6.8 280.0 68.0 5.2 "2011-04-03 04:00:00" 4.11621556946 64.0 3.6
59.0 7.3 282.0 68.0 5.2 "2011-04-03 04:00:00" 4.16740675447 64.0 3.6
54.0 5.2 320.0 61.0 3.1 "2011-04-03 04:00:00" 3.66237930374 58.0 3.3
59.0 9.2 278.0 68.0 5.2 "2011-04-03 04:00:00" 4.40827453017 64.0 3.8
58.0 7.6 284.0 66.0 6.2 "2011-04-03 04:00:00" 4.20584056409 62.0 2.8
54.0 6.5 328.0 63.0 5.1 "2011-04-03 04:00:00" 3.88365243421 59.0 4.4
55.0 4.6 334.0 63.0 4.3 "2011-04-03 04:00:00" 3.35808701569 60.0 2.8
57.0 6.2 298.0 65.0 7.6 "2011-04-03 04:00:00" 2.96860903115 61.0 2.7
56.0 6.6 300.0 65.0 7.5 "2011-04-03 04:00:00" 3.49405355884 61.0 3.3
57.0 5.7 296.0 65.0 7.5 "2011-04-03 04:00:00" 2.48545830851 61.0 1.5
55.0 5.2 310.0 67.0 7.3 "2011-04-03 04:00:00" 4.23214391073 59.0 3.9
55.0 5.1 312.0 62.0 7.8 "2011-04-03 04:00:00" 4.37992208356 58.0 4.1
55.0 5.1 314.0 62.0 7.8 "2011-04-03 04:00:00" 4.29454058714 58.0 4.1
56.0 4.9 306.0 63.0 3.8 "2011-04-03 04:00:00" 3.86892888391 60.0 3.5
55.0 5.2 308.0 62.0 5.0 "2011-04-03 04:00:00" 4.1643952045 59.0 3.4
57.0 4.8 292.0 65.0 6.0 "2011-04-03 04:00:00" 2.40208733103 61.0 1.2
57.0 4.8 294.0 65.0 6.7 "2011-04-03 04:00:00" 2.15663692747 61.0 1.1
56.0 9.9 116.0 68.0 7.5 "2011-04-03 04:00:00" 6.62299551222 66.0 6.0
57.0 6.0 290.0 65.0 6.1 "2011-04-03 04:00:00" 2.70776248281 61.0 1.6
56.0 4.8 304.0 68.0 8.9 "2011-04-03 04:00:00" 3.96315474823 60.0 3.7
57.0 6.6 288.0 65.0 6.5 "2011-04-03 04:00:00" 3.49485850795 61.0 2.4
56.0 4.7 302.0 67.0 8.9 "2011-04-03 04:00:00" 3.81995229899 60.0 3.7
58.0 6.6 286.0 65.0 6.7 "2011-04-03 04:00:00" 3.98020902354 61.0 2.6
54.0 8.6 0.0 66.0 8.5 "2011-04-03 04:05:00" 3.84230660415 59.0 3.5
54.0 8.1 2.0 64.0 4.4 "2011-04-03 04:05:00" 3.57743240575 60.0 3.6
52.0 9.4 4.0 64.0 3.3 "2011-04-03 04:05:00" 3.46153323056 60.0 3.6
51.0 9.0 6.0 65.0 6.7 "2011-04-03 04:05:00" 3.46548779121 60.0 3.8
51.0 7.8 8.0 65.0 6.7 "2011-04-03 04:05:00" 3.50154052862 59.0 3.3
50.0 9.2 10.0 65.0 6.7 "2011-04-03 04:05:00" 3.46367644757 59.0 3.2
51.0 6.7 12.0 65.0 7.0 "2011-04-03 04:05:00" 3.47935788024 58.0 3.1
51.0 10.7 14.0 65.0 7.3 "2011-04-03 04:05:00" 3.40706007074 58.0 3.3
52.0 10.1 16.0 64.0 4.3 "2011-04-03 04:05:00" 3.3361350331 58.0 3.2
52.0 9.8 18.0 62.0 4.4 "2011-04-03 04:05:00" 3.47421380174 57.0 2.9
