dst_med BndMlon BndEquMlat BndEquTecVal BndPolMlat BndPolTecVal minTecMlat minTecVal BndMLT BndNormMLT
-95.0 279.91 56.11 15.74 66.28 8.41 63.24 6.67 16.1 -7.9
-95.0 283.06 56.41 16.32 66.69 8.31 63.33 6.96 16.2 -7.8
-95.0 282.48 56.93 14.31 66.62 8.01 63.29 6.55 16.3 -7.7
-95.0 283.9 56.73 14.4 66.33 7.97 62.89 6.4 16.4 -7.6
-57.0 275.7 57.5 12.09 67.14 7.03 63.71 5.4 16.4 -7.6
-95.0 285.21 56.78 13.92 66.21 7.91 62.84 6.27 16.5 -7.5
-57.0 275.29 57.66 12.51 67.09 6.92 63.92 5.47 16.5 -7.5
-95.0 288.47 56.43 13.24 66.0 7.81 62.59 6.2 16.6 -7.4
-57.0 276.95 57.94 12.06 67.44 7.09 63.97 5.54 16.6 -7.4
-95.0 287.95 55.86 12.8 66.11 7.4 62.43 6.0 16.7 -7.3
-57.0 278.93 57.77 11.74 67.17 7.08 63.66 5.37 16.7 -7.3
-95.0 289.0 55.76 12.83 65.86 7.4 62.1 5.8 16.8 -7.2
-57.0 279.15 57.86 11.1 67.15 6.99 63.95 5.29 16.8 -7.2
-95.0 291.28 55.84 12.49 65.91 7.26 62.25 5.7 16.9 -7.1
-57.0 278.1 57.85 11.43 67.23 7.08 63.93 5.43 16.9 -7.1
-95.0 292.98 55.8 12.17 65.56 7.45 61.85 5.61 17.0 -7.0
-57.0 279.03 57.65 11.37 67.08 7.05 63.72 5.41 17.0 -7.0
-95.0 292.34 55.85 11.56 65.56 7.27 61.77 5.48 17.1 -6.9
-36.0 277.07 59.05 10.96 67.43 8.03 64.21 6.19 17.1 -6.9
-57.0 280.02 57.53 10.84 67.12 6.88 63.75 5.25 17.1 -6.9
-95.0 293.69 55.84 11.85 65.08 7.58 61.27 5.63 17.2 -6.8
-36.0 276.44 59.07 10.48 67.43 7.91 64.11 6.02 17.2 -6.8
-57.0 280.05 57.62 10.84 67.24 7.07 63.92 5.2 17.2 -6.8
-95.0 296.12 55.64 12.14 64.65 7.86 60.98 5.54 17.3 -6.7
-36.0 276.79 58.94 10.46 67.4 7.94 63.99 6.04 17.3 -6.7
-57.0 282.05 57.66 11.2 67.15 7.19 63.74 5.45 17.3 -6.7
-95.0 296.93 55.57 11.8 64.74 8.25 60.6 5.56 17.4 -6.6
-36.0 277.45 58.78 10.25 67.24 7.72 63.85 5.91 17.4 -6.6
-57.0 283.6 57.47 10.86 66.67 7.09 63.31 5.21 17.4 -6.6
-95.0 297.03 55.09 12.27 64.07 8.27 60.18 5.77 17.5 -6.5
-36.0 279.25 58.56 10.21 67.03 7.7 63.6 5.82 17.5 -6.5
-57.0 286.07 57.56 10.54 66.76 7.06 63.31 5.27 17.5 -6.5
-95.0 298.97 55.1 12.04 64.12 8.09 60.13 5.55 17.6 -6.4
-36.0 279.65 58.25 10.22 66.85 7.53 63.35 5.71 17.6 -6.4
-57.0 287.72 57.41 10.46 66.54 6.91 63.08 5.14 17.6 -6.4
-95.0 301.23 54.62 12.77 63.59 8.86 59.64 5.79 17.7 -6.3
-36.0 279.94 58.07 10.01 66.69 7.46 63.17 5.6 17.7 -6.3
-57.0 288.26 56.83 10.62 66.26 7.06 62.76 5.27 17.7 -6.3
-95.0 302.02 54.04 13.11 63.61 8.72 59.32 5.66 17.8 -6.2
-36.0 280.74 57.89 9.83 66.48 7.39 62.91 5.5 17.8 -6.2
-57.0 289.82 56.38 10.55 65.79 6.83 62.31 5.04 17.8 -6.2
-95.0 301.19 53.92 12.92 63.38 8.72 59.32 5.7 17.9 -6.1
-36.0 282.87 57.67 9.75 66.22 7.34 62.68 5.4 17.9 -6.1
-57.0 291.61 56.59 10.09 65.69 6.81 62.17 5.11 17.9 -6.1
-95.0 301.25 53.68 12.81 63.07 8.46 58.96 5.84 18.0 -6.0
-36.0 283.05 57.61 9.66 66.2 7.29 62.7 5.32 18.0 -6.0
-57.0 291.87 56.28 9.97 65.37 6.86 61.86 5.11 18.0 -6.0
-95.0 303.76 53.45 12.93 62.9 8.3 58.61 5.7 18.1 -5.9
-18.0 276.28 58.67 10.4 67.02 8.19 63.73 6.34 18.1 -5.9
-36.0 284.4 57.44 9.51 66.21 7.23 62.57 5.23 18.1 -5.9
-57.0 292.8 56.51 9.78 65.35 6.95 61.76 5.15 18.1 -5.9
-95.0 304.18 53.45 12.64 62.95 8.56 58.59 5.68 18.2 -5.8
-18.0 276.73 58.89 10.34 67.16 8.11 63.79 6.33 18.2 -5.8
-36.0 284.79 57.39 9.34 66.05 7.16 62.4 5.2 18.2 -5.8
-57.0 293.2 56.69 9.4 65.2 6.84 61.62 4.98 18.2 -5.8
-95.0 303.5 53.03 12.08 62.47 8.59 58.14 5.55 18.3 -5.7
-18.0 277.1 58.74 10.39 67.16 8.12 63.73 6.32 18.3 -5.7
-36.0 286.48 57.26 9.21 65.84 7.1 62.18 5.08 18.3 -5.7
-57.0 294.74 56.21 9.37 64.72 6.85 61.17 5.02 18.3 -5.7
-95.0 304.42 53.05 11.99 62.6 8.85 58.03 5.46 18.4 -5.6
-18.0 276.95 58.58 10.06 66.99 8.02 63.55 6.04 18.4 -5.6
-36.0 287.95 57.11 9.21 65.69 7.04 62.02 5.03 18.4 -5.6
